prediction_time,image_time,forecast_end,prediction_label,probability,image_path,pred_binary,gt_label,matched_goes
2026-03-25T20:51:28.071301,2/17/2026 11:00,2/17/2026 23:00,No Flare,0.799935818,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_11.00.00.jpg,0,1,"B9.8, C1.1"
2026-03-25T20:51:28.144243,2/17/2026 12:00,2/18/2026 0:00,No Flare,0.801176727,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_12.00.00.jpg,0,1,"B9.8, C1.1, C1.8"
2026-03-25T20:51:28.221705,2/17/2026 13:00,2/18/2026 1:00,No Flare,0.813192844,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_13.00.00.jpg,0,1,"B9.8, C1.1, C1.8"
2026-03-25T20:51:28.299023,2/17/2026 14:00,2/18/2026 2:00,No Flare,0.821573496,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_14.00.00.jpg,0,1,"B9.8, C1.1, C1.8"
2026-03-25T20:51:28.373311,2/17/2026 15:00,2/18/2026 3:00,No Flare,0.871476591,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_15.00.00.jpg,0,1,"B9.8, C1.1, C1.8"
2026-03-25T20:51:28.455720,2/17/2026 16:00,2/18/2026 4:00,No Flare,0.833873332,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_16.00.00.jpg,0,1,"C1.1, C1.8, B5.6"
2026-03-25T20:51:28.540873,2/17/2026 17:00,2/18/2026 5:00,No Flare,0.838800251,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_17.00.00.jpg,0,1,"C1.1, C1.8, B5.6, B6.8, C1.4"
2026-03-25T20:51:28.618391,2/17/2026 18:00,2/18/2026 6:00,No Flare,0.899836779,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_18.00.00.jpg,0,1,"C1.1, C1.8, B5.6, B6.8, C1.4"
2026-03-25T20:51:28.702032,2/17/2026 19:00,2/18/2026 7:00,No Flare,0.882959306,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_19.00.00.jpg,0,1,"C1.8, B5.6, B6.8, C1.4"
2026-03-25T20:51:28.784996,2/17/2026 20:00,2/18/2026 8:00,No Flare,0.856626034,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_20.00.00.jpg,0,1,"C1.8, B5.6, B6.8, C1.4"
2026-03-25T20:51:28.857644,2/17/2026 21:00,2/18/2026 9:00,No Flare,0.849825859,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_21.00.00.jpg,0,1,"C1.8, B5.6, B6.8, C1.4"
2026-03-25T20:51:28.938179,2/17/2026 22:00,2/18/2026 10:00,No Flare,0.857510686,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_22.00.00.jpg,0,1,"C1.8, B5.6, B6.8, C1.4"
2026-03-25T20:51:29.013732,2/17/2026 23:00,2/18/2026 11:00,No Flare,0.877646923,data\hmi_jpg\2026\02\17\HMI.m2026.02.17_23.00.00.jpg,0,1,"C1.8, B5.6, B6.8, C1.4"
