Start,GOES Class,Class_Type
2026-02-01 17:32:00,M1.1,M
2026-02-01 17:43:00,M2.5,M
2026-02-01 18:15:00,M2.1,M
2026-02-01 18:48:00,M1.9,M
2026-02-01 19:12:00,M1.9,M
2026-02-01 20:20:00,M2.2,M
2026-02-01 23:12:00,M1.4,M
2026-02-01 23:44:00,X8.1,X
2026-02-02 00:15:00,X1.5,X
2026-02-02 00:31:00,X2.8,X
2026-02-02 02:35:00,M4.4,M
2026-02-02 02:45:00,M5.2,M
2026-02-02 03:44:00,M1.9,M
2026-02-02 04:39:00,M3.0,M
2026-02-02 05:10:00,M1.6,M
2026-02-02 05:19:00,M2.3,M
2026-02-02 07:39:00,X1.7,X
2026-02-02 10:17:00,M1.9,M
2026-02-02 11:15:00,M6.7,M
2026-02-02 13:32:00,M1.1,M
2026-02-02 14:49:00,M4.0,M
2026-02-02 17:03:00,M2.4,M
2026-02-02 18:26:00,M2.4,M
2026-02-02 19:41:00,M2.9,M
2026-02-02 20:52:00,M3.3,M
2026-02-02 23:10:00,C7.2,C
2026-02-02 23:21:00,M2.5,M
2026-02-03 00:44:00,C7.8,C
2026-02-03 01:31:00,M1.5,M
2026-02-03 04:13:00,M1.8,M
2026-02-03 05:45:00,M2.6,M
2026-02-03 06:43:00,M7.2,M
2026-02-03 07:43:00,M3.6,M
2026-02-03 08:25:00,C7.1,C
2026-02-03 09:41:00,M3.7,M
2026-02-03 12:41:00,C4.0,C
2026-02-03 13:58:00,X1.5,X
2026-02-03 14:45:00,M7.2,M
2026-02-03 16:29:00,M2.1,M
2026-02-03 17:53:00,M2.5,M
2026-02-03 19:26:00,C7.8,C
2026-02-03 20:50:00,C7.9,C
2026-02-03 21:33:00,C5.9,C
2026-02-03 22:31:00,M2.0,M
2026-02-03 22:56:00,M3.5,M
2026-02-04 00:56:00,C6.8,C
2026-02-04 01:02:00,M1.2,M
2026-02-04 01:26:00,M1.4,M
2026-02-04 01:45:00,M1.4,M
2026-02-04 02:22:00,M2.1,M
2026-02-04 02:32:00,M4.9,M
2026-02-04 03:48:00,M2.1,M
2026-02-04 06:15:00,C4.5,C
2026-02-04 06:50:00,C3.5,C
2026-02-04 08:26:00,C3.8,C
2026-02-04 08:50:00,C6.7,C
2026-02-04 09:12:00,M1.8,M
2026-02-04 09:48:00,C6.4,C
2026-02-04 10:10:00,M3.1,M
2026-02-04 10:40:00,M1.5,M
2026-02-04 10:51:00,M1.6,M
2026-02-04 11:31:00,M1.1,M
2026-02-04 12:02:00,X4.2,X
2026-02-04 15:25:00,M1.9,M
2026-02-04 20:19:00,C6.6,C
2026-02-04 21:42:00,C3.0,C
2026-02-05 00:54:00,C4.7,C
2026-02-05 01:44:00,C4.9,C
2026-02-05 02:13:00,C3.2,C
2026-02-05 02:40:00,C9.0,C
2026-02-05 03:55:00,M2.5,M
2026-02-05 04:25:00,M2.7,M
2026-02-05 05:00:00,M2.1,M
2026-02-05 06:13:00,M1.3,M
2026-02-05 07:51:00,C8.1,C
2026-02-05 08:19:00,M1.0,M
2026-02-05 08:38:00,M1.2,M
2026-02-05 09:50:00,C2.6,C
2026-02-05 10:06:00,C7.9,C
2026-02-05 11:38:00,C4.3,C
2026-02-05 12:42:00,C6.0,C
2026-02-05 12:59:00,M1.6,M
2026-02-05 14:11:00,C4.4,C
2026-02-05 14:43:00,C4.4,C
2026-02-05 15:08:00,M1.8,M
2026-02-05 15:49:00,C3.5,C
2026-02-05 16:20:00,M1.7,M
2026-02-05 17:31:00,M1.5,M
2026-02-05 18:58:00,C2.2,C
2026-02-05 19:28:00,M2.2,M
2026-02-05 22:10:00,M1.2,M
2026-02-05 23:47:00,C2.0,C
2026-02-06 02:23:00,C3.9,C
2026-02-06 05:46:00,C5.0,C
2026-02-06 07:34:00,C2.6,C
2026-02-06 09:23:00,C3.1,C
2026-02-06 10:10:00,C6.9,C
2026-02-06 12:05:00,C2.8,C
2026-02-06 14:02:00,C2.5,C
2026-02-06 14:50:00,C4.2,C
2026-02-06 16:48:00,C3.3,C
2026-02-06 17:48:00,C2.1,C
2026-02-06 18:35:00,C2.1,C
2026-02-06 21:29:00,C4.1,C
2026-02-07 06:33:00,C2.1,C
